Subsystem	Feature	CurrentPath	ReferencePath	CurrentStatus	ReferenceStatus	Classification	Priority	PortMethod	Risk	Dependency	ReferenceCommit	Notes
Board	SM8750 sun/pagani identity	device/oneplus/pagani/BoardConfig.mk; device/oneplus/sm8750-common/BoardConfigCommon.mk	pagani/BoardConfig.mk; sm8750-common/BoardConfigCommon.mk	Builds and boots on PKX110	Builds for PKX110	IDENTICAL	P0	No action	LOW	DT/project 24821, kernel family	438f9c9e; faca90d7	Both trees target pagani/SM8750; current runtime is proven.
Display	1216x2640 density 480	device/oneplus/pagani/configs/display/displayconfig.xml	pagani/configs/display/displayconfig.xml	Runtime display works	Same stock-derived values	IDENTICAL	P1	No action	LOW	Panel AA594 P7 A0020	c628b3f3; 7d89a922	The XML is byte-identical; reference has more display-id copy destinations.
UDFPS	SensorProps coordinates and radius	hardware/oplus/fingerprint/shims/SensorPropsShim.cpp	pagani/addons/fingerprint/shims/SensorPropsShim.cpp	Retained unchanged; coordinates/radius plus enrollment and authentication pass	Pagani-local shim reads sensorlocation and iconsize	DIFFERENT_IMPLEMENTATION	P0	Keep current shared shim	LOW	Fingerprint AIDL v3, DRM resolution, vendor props	7d368415	The verified build retained the newer shared SensorPropsShim; no final OplusFodShim integration was needed.
UDFPS	UFF HIDL wrapper, HBM and fp-press ioctl	hardware/oplus/hidl/fingerprint/BiometricsFingerprint.cpp	hardware-oplus/hidl/fingerprint/BiometricsFingerprint.cpp	HAL, HBM and cleanup paths pass during enrollment and screen-on authentication	Same wrapper	IDENTICAL	P0	No copy	MEDIUM	/dev/oplus_display, UFF HAL, panel ioctl	7f4f347c; c9225a7d; dfba74a2; 0dee4e5	The existing wrapper was retained; HBM on/off paired 24/24 during enrollment and 2/2 after reboot.
UDFPS	SM8750 connector fingerprint_mask/OFP chain	hardware/qcom-caf/sm8750/display/core; device/oneplus/pagani/device.mk	not present in reference hardware-oplus tree	QTI OPlus UDFPS is built; UI_READY, capture and HBM lifecycle are device-verified	Reference uses pagani extension only	DEVICE_VERIFIED	P0	Keep the enabled pagani path	HIGH	qtidisplay oplus_udfps, DRM connector property, kernel OFP	877593fbad05b453fca8dfd0a9e59daad6697f32	The enabling Soong flag is committed; enrollment and screen-on authentication prove the connector/OFP chain is live.
UDFPS	Enrollment UI_READY / notify_fppress trigger	kernel/oneplus/sm8750-modules OPlus OFP touch notifier; frameworks/base UdfpsController cleanup; pagani/common ueventd and sepolicy	hardware/oplus RandomLemon OplusFodShim; ABNOTF SystemUI patch; zzkeier dedicated ueventd/sepolicy	PASS: kernel real touch writes 1/0 and SystemUI writes cleanup-only 0; enrollment and screen-on authentication complete	RandomLemon provides a HAL-side candidate bridge; the final device fix did not use it	DEVICE_VERIFIED	P0	Keep kernel as sole 1 writer and SystemUI as cleanup-only 0 writer	MEDIUM	Real touch notifier ordering, QTI OPlus UDFPS, dedicated sysfs policy, UI_READY and HBM cleanup	5b64073d036e19647310dc6671a91e77a834190e; ed26e45fde9f3d6653e8e102f8ec24cd35864cdc; 2e389d031287343f1da3761b34354fd20ec5d6b0; 62cf9629ebbbe7a9be97c20a9559fde0399e3218	Empty-state enrollment reached 0, templates survived reboot, HBM paired, and no 15001 or relevant AVC was observed.
UDFPS	Third-party biometric and payment authorization	Android BiometricPrompt; vendor fingerprint and TEE services	Application biometric APIs and payment-specific integrity policy	Alipay fingerprint login/payment and Google Play payment verification pass	Application support can additionally depend on bootloader, root, ROM signing and integrity policy	DEVICE_VERIFIED	P1	No source change	MEDIUM	Strong biometric sensor, enrolled template, TEE and application policy	ed26e45fde9f; 5b64073d036e; 2e389d031287; 62cf9629ebbb	Verified on the recorded PKX110 build; this does not guarantee every payment application accepts an unlocked or modified device.
UDFPS	Gesture stealing and sleep overlay cleanup	frameworks/base/packages/SystemUI/.../UdfpsController*	frameworks_base/0001-Fix-pagani-s-fingerprint-problem.patch	SystemUI FOD release cleanup is verified; layout exclusion and AOD/screen-off behavior remain untested	Adds both behaviors	PARTIALLY_PORTED	P1	Keep verified cleanup; review AOD/layout behavior only if reproduced	MEDIUM	Udfps overlay layout, wakefulness lifecycle, navigation gestures	f09f2929	Cleanup-only notify_fppress=0 fixed persistent highlight without importing unrelated layout or error-suppression hunks.
UDFPS	Vendor error 10108 handling	frameworks/base/services/.../AidlResponseHandler.java	frameworks_base fingerprint patch	No 10108 suppression; the prior 15001 enrollment failure was resolved in the touch/UI_READY path	Ignores five error=1/vendorCode=10108 responses	DO_NOT_PORT	P1	No action unless 10108 is independently reproduced	HIGH	AIDL response handler, session state, HAL semantics	f09f2929	The verified fix does not suppress vendor errors; importing the old bounded-ignore patch could mask a separate failure.
Radio	OPlus Radio AIDL and IMS instances	device/oneplus/sm8750-common/vintf/network_manifest_odm.xml; hardware/oplus/interfaces	matching common manifest and interfaces	OplusRadio0/1, OplusImsRadio0/1 present	Same	IDENTICAL	P0	No copy	HIGH	Vendor radio services, AIDL V2, QTI IMS	39ad2e26	Runtime NR SA/data/phone evidence proves the functional radio path is alive.
Radio	oplusreserve2 first-stage mount	device/oneplus/sm8750-common/init/fstab.default; hardware/oplus/sepolicy/qti/vendor/file_contexts	same common fstab and reserve labels	Mounted in current tree	Same mount and radio subtree labels	IDENTICAL	P0	No copy	HIGH	/dev/block/by-name/oplusreserve2, qcrild, reserve SELinux labels	807c9f86	Reference presence is not a missing current feature; do not alter partition handling for signal bars.
Radio	nrmodeswitcher	device/oneplus/sm8750-common/common.mk; hardware/oplus/nrmodeswitcher	same paths	Built and source files identical	Built and source files identical	IDENTICAL	P0	No copy	MEDIUM	OPlus Radio AIDL, service rc, radio props	4fe5f0ad	Current implementation includes the same retry and SA_PRE mode path.
